"Id","Response"
1,2
3,7
4,7
9,6
12,7
13,8
21,6
28,8
30,5
36,8
38,8
43,7
45,7
48,8
50,5
51,8
54,5
55,7
59,8
62,3
63,8
66,8
69,8
82,8
83,5
84,6
86,8
89,8
90,3
92,7
98,6
100,3
105,4
115,8
119,2
124,4
127,8
133,7
140,4
141,8
143,1
151,3
154,8
157,8
163,4
166,1
168,8
170,3
173,7
180,5
182,8
184,3
185,8
195,8
196,6
197,3
212,4
213,8
219,8
225,2
227,4
232,3
239,5
247,3
251,5
254,5
261,7
264,5
267,8
272,8
275,8
277,3
283,7
284,2
287,7
291,8
293,5
294,3
305,7
307,4
309,8
311,4
322,5
323,4
326,6
330,3
335,7
337,8
338,4
341,1
346,5
348,4
352,3
356,8
358,2
366,7
369,4
373,4
375,4
381,4
384,8
386,4
396,7
397,2
399,6
405,8
412,8
417,2
421,5
425,8
427,8
430,5
432,4
433,8
436,8
438,8
441,8
442,4
444,4
446,8
448,7
450,5
454,8
465,8
470,7
472,2
475,7
484,8
495,8
497,8
498,8
501,5
502,6
505,8
515,5
516,5
527,7
529,3
531,7
533,5
537,2
541,8
546,8
548,7
549,8
550,7
553,8
559,7
561,3
564,2
574,5
578,7
579,5
580,8
582,5
584,8
588,6
596,5
602,3
603,2
613,7
614,2
619,8
620,6
624,5
625,7
628,5
630,5
635,7
636,3
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,7
667,8
670,8
672,6
674,8
676,8
684,8
685,4
693,2
694,6
700,3
702,6
703,6
705,5
711,8
718,2
722,8
726,6
727,3
732,8
735,8
740,2
748,7
750,7
751,8
756,7
762,7
766,8
770,6
771,2
779,7
782,4
784,8
793,7
798,4
800,6
801,8
805,7
807,4
813,8
819,8
820,7
822,8
823,7
833,8
834,3
842,2
845,7
856,5
860,4
864,4
869,8
872,8
877,4
878,8
893,5
894,8
896,5
899,5
900,7
911,1
914,7
917,1
919,8
923,2
925,5
926,2
934,6
938,8
940,6
955,5
956,7
971,7
973,8
978,8
979,8
981,8
988,7
990,8
992,2
996,8
997,4
999,4
1000,8
1006,6
1009,3
1018,6
1025,4
1038,8
1042,5
1045,5
1046,8
1047,5
1050,4
1052,7
1054,8
1057,8
1061,2
1069,5
1071,7
1073,6
1074,8
1075,5
1083,6
1084,2
1089,5
1099,5
1103,3
1110,8
1123,8
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,7
1172,7
1178,4
1179,8
1181,5
1182,8
1183,8
1191,8
1192,1
1200,2
1205,7
1207,7
1208,3
1209,2
1217,3
1223,8
1225,8
1226,2
1228,2
1230,4
1232,8
1235,8
1237,6
1257,8
1266,2
1267,5
1274,8
1277,8
1278,6
1280,8
1282,8
1293,5
1294,3
1305,7
1306,7
1311,8
1318,5
1320,6
1323,8
1325,2
1328,4
1336,4
1340,8
1341,8
1344,6
1345,7
1348,4
1358,1
1361,8
1364,5
1373,8
1377,5
1378,7
1380,7
1382,7
1383,5
1386,8
1387,1
1390,5
1395,8
1398,4
1402,3
1403,8
1405,8
1407,8
1410,1
1412,2
1419,5
1426,7
1428,8
1436,7
1437,2
1438,3
1441,8
1444,4
1448,2
1454,5
1457,6
1459,8
1463,8
1467,2
1471,6
1475,5
1476,5
1480,8
1481,2
1482,4
1489,5
1491,8
1494,8
1496,8
1500,8
1501,8
1503,7
1504,3
1505,5
1515,4
1517,4
1520,4
1521,4
1523,8
1526,7
1529,6
1530,4
1543,5
1544,8
1547,7
1550,8
1552,5
1554,5
1563,7
1574,6
1575,3
1576,5
1579,3
1582,3
1584,8
1585,8
1589,4
1596,6
1598,2
1611,7
1613,4
1615,5
1618,3
1627,6
1630,3
1638,7
1639,7
1640,8
1642,7
1645,6
1648,7
1654,3
1661,8
1662,5
1663,8
1666,6
1668,1
1670,2
1672,7
1681,5
1682,7
1683,1
1687,8
1688,8
1693,7
1694,7
1700,8
1704,6
1712,8
1716,8
1717,7
1722,5
1724,2
1738,1
1739,1
1740,7
1761,7
1763,8
1765,8
1766,7
1767,8
1771,5
1772,7
1777,8
1784,3
1799,2
1806,8
1810,2
1812,5
1814,3
1818,7
1819,8
1822,5
1823,8
1824,2
1834,5
1835,8
1844,5
1848,4
1849,8
1850,6
1851,2
1856,5
1862,1
1863,6
1872,7
1874,5
1875,8
1877,8
1900,6
1902,6
1904,6
1905,2
1908,8
1914,8
1916,2
1922,4
1933,7
1934,5
1939,7
1942,5
1947,8
1957,7
1971,8
1973,2
1974,6
1977,8
1981,6
1985,8
1987,7
1989,8
2001,4
2002,4
2007,2
2008,8
2011,5
2021,7
2034,7
2040,8
2044,7
2045,8
2048,8
2051,8
2062,7
2066,1
2068,3
2069,4
2074,8
2075,7
2078,7
2079,1
2080,3
2081,2
2084,1
2085,8
2087,7
2096,4
2102,8
2103,2
2107,8
2117,6
2118,3
2120,7
2121,3
2122,3
2130,8
2136,2
2138,8
2140,8
2143,7
2144,5
2145,5
2147,7
2150,2
2154,8
2155,1
2166,4
2169,2
2173,5
2176,1
2178,7
2179,4
2180,8
2184,8
2185,8
2188,5
2190,7
2194,7
2195,8
2198,5
2205,8
2206,7
2207,2
2212,6
2213,6
2216,8
2218,1
2224,8
2225,7
2228,8
2236,7
2242,8
2246,4
2250,8
2255,7
2256,2
2267,4
2268,7
2269,5
2272,5
2275,2
2280,8
2282,8
2287,8
2289,8
2293,8
2296,7
2307,7
2309,3
2313,5
