"Id","Response"
1,3
3,6
4,6
9,6
12,7
13,6
21,6
28,7
30,5
36,6
38,8
43,6
45,3
48,7
50,5
51,7
54,6
55,7
59,7
62,3
63,7
66,7
69,8
82,8
83,6
84,5
86,7
89,8
90,4
92,8
98,6
100,2
105,4
115,7
119,3
124,3
127,7
133,8
140,5
141,8
143,2
151,3
154,7
157,7
163,6
166,1
168,8
170,5
173,8
180,6
182,7
184,4
185,6
195,6
196,5
197,4
212,4
213,6
219,8
225,4
227,4
232,5
239,4
247,5
251,4
254,5
261,6
264,6
267,6
272,6
275,7
277,4
283,7
284,2
287,6
291,8
293,5
294,4
305,6
307,6
309,7
311,4
322,2
323,3
326,6
330,3
335,7
337,6
338,4
341,1
346,6
348,5
352,3
356,8
358,4
366,6
369,3
373,6
375,3
381,6
384,7
386,5
396,6
397,2
399,6
405,8
412,7
417,3
421,6
425,6
427,7
430,5
432,5
433,6
436,7
438,6
441,8
442,5
444,4
446,6
448,6
450,5
454,6
465,8
470,3
472,4
475,7
484,7
495,8
497,7
498,7
501,4
502,5
505,7
515,3
516,5
527,7
529,3
531,6
533,5
537,3
541,6
546,7
548,6
549,8
550,6
553,6
559,7
561,3
564,2
574,6
578,6
579,6
580,8
582,5
584,8
588,6
596,3
602,3
603,4
613,7
614,1
619,6
620,6
624,4
625,6
628,5
630,6
635,7
636,6
637,7
641,7
644,8
648,8
654,6
658,3
664,8
666,6
667,6
670,8
672,6
674,8
676,7
684,7
685,5
693,3
694,7
700,2
702,6
703,6
705,6
711,7
718,3
722,6
726,5
727,4
732,8
735,7
740,3
748,6
750,6
751,8
756,6
762,6
766,7
770,6
771,4
779,6
782,4
784,6
793,6
798,4
800,5
801,7
805,6
807,3
813,7
819,7
820,6
822,7
823,6
833,7
834,4
842,3
845,6
856,4
860,4
864,4
869,6
872,6
877,5
878,5
893,5
894,8
896,4
899,4
900,6
911,2
914,6
917,1
919,6
923,2
925,6
926,3
934,6
938,6
940,4
955,6
956,6
971,6
973,7
978,7
979,8
981,7
988,6
990,7
992,4
996,6
997,5
999,5
1000,6
1006,6
1009,2
1018,6
1025,5
1038,6
1042,7
1045,6
1046,8
1047,6
1050,5
1052,6
1054,7
1057,6
1061,3
1069,5
1071,6
1073,6
1074,8
1075,4
